Stepsize	ClusterID	Top n% cluster	Chromosome	Start bp	End bp	Physical size bp	Number of genes	Number of Hypothetical genes	number of Enzymes	Start Gene	End Gene	Gene IDs
3	C685	1	scaffold_2	1666433	1679799	13367	3	0	3	estExt_Genewise1Plus.C_20309	estExt_fgenesh1_pm.C_20132	estExt_Genewise1Plus.C_20309, e_gw1.2.290.1, estExt_fgenesh1_pm.C_20132
3	C687	1	scaffold_2	2181617	2205571	23955	5	0	5	e_gw1.2.289.1	estExt_Genewise1.C_20438	e_gw1.2.289.1, fgenesh1_pg.2_#_314, fgenesh1_pm.2_#_196, Genemark1.1158_g, estExt_Genewise1.C_20438
3	C689	1	scaffold_2	2326102	2351700	25599	5	0	4	fgenesh1_pm.2_#_208	estExt_fgenesh1_pm.C_20203	fgenesh1_pm.2_#_208, fgenesh1_pm.2_#_209, fgenesh1_kg.2_#_134_#_0_0_CBOZ7351.b1_CBOZ_CBPA, e_gw1.2.359.1, estExt_fgenesh1_pm.C_20203
3	C690	1	scaffold_2	2510086	2605275	95190	21	0	11	fgenesh1_kg.2_#_143_#_2028_1_CBOZ_CBPA	fgenesh1_pm.2_#_237	fgenesh1_kg.2_#_143_#_2028_1_CBOZ_CBPA, estExt_Genewise1Plus.C_20498, estExt_fgenesh1_pg.C_20354, fgenesh1_pg.2_#_364, Genemark1.1226_g, estExt_fgenesh1_pm.C_20219, fgenesh1_kg.2_#_146_#_4529_0_CBOZ2421.g1_CBOZ_CBPA, e_gw1.2.390.1, fgenesh1_pg.2_#_366, e_gw1.2.275.1, estExt_Genemark1.C_20485, fgenesh1_kg.2_#_148_#_1579_0_CBOZ3904.b1_CBOZ_CBPA, estExt_fgenesh1_pm.C_20223, fgenesh1_kg.2_#_150_#_5092_0_CBOZ8202.g1_CBOZ_CBPA, fgenesh1_kg.2_#_151_#_621_1_CBOZ_CBPA, fgenesh1_pg.2_#_371, estExt_fgenesh1_pg.C_20363, estExt_fgenesh1_pg.C_20364, estExt_Genemark1.C_20492, e_gw1.2.564.1, fgenesh1_pm.2_#_237
3	C693	1	scaffold_2	2771784	2858336	86553	13	0	7	estExt_Genemark1.C_20531	estExt_Genewise1Plus.C_20578	estExt_Genemark1.C_20531, e_gw1.2.31.1, Genemark1.1278_g, fgenesh1_pm.2_#_254, estExt_fgenesh1_pg.C_20398, estExt_Genewise1Plus.C_20564, fgenesh1_pg.2_#_409, e_gw1.2.225.1, fgenesh1_pg.2_#_411, estExt_Genewise1Plus.C_20570, e_gw1.2.764.1, fgenesh1_kg.2_#_166_#_1257_1_CBOZ_CBPA, estExt_Genewise1Plus.C_20578
3	C695	1	scaffold_2	2991149	3047143	55995	12	0	6	fgenesh1_pm.2_#_271	fgenesh1_pg.2_#_443	fgenesh1_pm.2_#_271, Genemark1.1315_g, estExt_fgenesh1_pm.C_20263, estExt_fgenesh1_pm.C_20264, estExt_Genewise1Plus.C_20607, fgenesh1_pg.2_#_437, fgenesh1_pg.2_#_438, estExt_Genewise1.C_20615, estExt_Genemark1.C_20577, e_gw1.2.437.1, estExt_Genewise1.C_20624, fgenesh1_pg.2_#_443
3	C699	1	scaffold_20	5041	96672	91632	18	0	9	estExt_Genemark1.C_200002	fgenesh1_kg.20_#_10_#_4079_1_CBOZ_CBPA	estExt_Genemark1.C_200002, estExt_Genemark1.C_200003, estExt_Genewise1Plus.C_200001, estExt_fgenesh1_pg.C_200003, estExt_fgenesh1_pm.C_200002, estExt_fgenesh1_pg.C_200005, estExt_Genemark1.C_200008, estExt_fgenesh1_pg.C_200007, e_gw1.20.74.1, estExt_Genemark1.C_200011, fgenesh1_pg.20_#_10, fgenesh1_pg.20_#_11, estExt_fgenesh1_pg.C_200012, fgenesh1_kg.20_#_7_#_1338_1_CBOZ_CBPA, estExt_fgenesh1_pm.C_200007, fgenesh1_kg.20_#_9_#_0_0_CBOZ2046.b1_CBOZ_CBPA, fgenesh1_pm.20_#_11, fgenesh1_kg.20_#_10_#_4079_1_CBOZ_CBPA
3	C705	1	scaffold_20	895663	926210	30548	5	0	4	Genemark1.7968_g	gw1.20.39.1	Genemark1.7968_g, fgenesh1_kg.20_#_44_#_432_1_CBOZ_CBPA, Genemark1.7970_g, Genemark1.7971_g, gw1.20.39.1
3	C706	1	scaffold_20	981755	1044803	63049	11	0	7	fgenesh1_pm.20_#_87	gw1.20.136.1	fgenesh1_pm.20_#_87, estExt_fgenesh1_pg.C_200136, estExt_fgenesh1_pg.C_200137, estExt_fgenesh1_pm.C_200087, gw1.20.164.1, e_gw1.20.27.1, estExt_fgenesh1_pg.C_200140, estExt_Genemark1.C_200183, Genemark1.7996_g, e_gw1.20.279.1, gw1.20.136.1
3	C707	1	scaffold_20	1155207	1209364	54158	10	0	6	estExt_Genewise1Plus.C_200254	gw1.20.221.1	estExt_Genewise1Plus.C_200254, e_gw1.20.82.1, estExt_Genemark1.C_200210, Genemark1.8023_g, estExt_Genewise1Plus.C_200261, fgenesh1_pm.20_#_104, estExt_Genewise1Plus.C_200268, estExt_Genemark1.C_200214, estExt_Genemark1.C_200215, gw1.20.221.1
3	C708	1	scaffold_21	196565	228716	32152	3	0	3	estExt_fgenesh1_pg.C_210025	gw1.21.156.1	estExt_fgenesh1_pg.C_210025, estExt_Genewise1.C_210028, gw1.21.156.1
3	C709	1	scaffold_21	324340	354588	30249	3	0	3	Genemark1.8101_g	fgenesh1_pm.21_#_13	Genemark1.8101_g, gw1.21.124.1, fgenesh1_pm.21_#_13
3	C712	1	scaffold_21	802329	825713	23385	4	0	3	estExt_fgenesh1_pm.C_210053	estExt_Genemark1.C_210138	estExt_fgenesh1_pm.C_210053, Genemark1.8185_g, estExt_Genemark1.C_210137, estExt_Genemark1.C_210138
3	C717	1	scaffold_22	492159	551365	59207	11	0	6	fgenesh1_pm.22_#_32	e_gw1.22.32.1	fgenesh1_pm.22_#_32, e_gw1.22.127.1, fgenesh1_pg.22_#_69, e_gw1.22.158.1, estExt_Genewise1.C_220080, e_gw1.22.76.1, estExt_fgenesh1_pm.C_220034, e_gw1.22.163.1, e_gw1.22.144.1, estExt_Genemark1.C_220103, e_gw1.22.32.1
3	C725	1	scaffold_24	511487	565682	54196	10	0	7	Genemark1.8663_g	Genemark1.8671_g	Genemark1.8663_g, e_gw1.24.93.1, fgenesh1_pm.24_#_28, estExt_fgenesh1_pm.C_240029, estExt_fgenesh1_pm.C_240030, estExt_Genewise1Plus.C_240060, e_gw1.24.16.1, Genemark1.8669_g, fgenesh1_pg.24_#_55, Genemark1.8671_g
3	C727	1	scaffold_25	414523	453980	39458	11	0	6	estExt_Genewise1.C_250062	Genemark1.8783_g	estExt_Genewise1.C_250062, e_gw1.25.17.1, Genemark1.8776_g, Genemark1.8777_g, estExt_Genemark1.C_250067, estExt_fgenesh1_pg.C_250061, fgenesh1_kg.25_#_16_#_1945_1_CBOZ_CBPA, e_gw1.25.110.1, Genemark1.8781_g, fgenesh1_kg.25_#_17_#_3464_1_CBOZ_CBPA, Genemark1.8783_g
3	C728	1	scaffold_25	475752	495096	19345	4	0	3	estExt_fgenesh1_pm.C_250034	estExt_fgenesh1_pg.C_250072	estExt_fgenesh1_pm.C_250034, fgenesh1_pg.25_#_70, e_gw1.25.29.1, estExt_fgenesh1_pg.C_250072
3	C729	1	scaffold_26	49685	60062	10378	4	0	3	e_gw1.26.62.1	estExt_Genewise1Plus.C_260011	e_gw1.26.62.1, gw1.26.41.1, estExt_fgenesh1_pm.C_260003, estExt_Genewise1Plus.C_260011
3	C730	1	scaffold_26	333435	398652	65218	14	0	8	fgenesh1_pg.26_#_33	fgenesh1_pm.26_#_23	fgenesh1_pg.26_#_33, estExt_Genewise1.C_260046, estExt_Genewise1Plus.C_260049, fgenesh1_kg.26_#_15_#_4241_1_CBOZ_CBPA, fgenesh1_kg.26_#_16_#_945_1_CBOZ_CBPA, estExt_Genemark1.C_260051, estExt_Genewise1.C_260051, fgenesh1_pg.26_#_38, fgenesh1_pm.26_#_20, estExt_fgenesh1_pg.C_260040, estExt_fgenesh1_pg.C_260041, e_gw1.26.85.1, estExt_fgenesh1_pg.C_260043, fgenesh1_pm.26_#_23
3	C734	1	scaffold_3	278654	318455	39802	6	0	5	estExt_Genewise1Plus.C_30041	fgenesh1_pg.3_#_42	estExt_Genewise1Plus.C_30041, fgenesh1_pg.3_#_37, fgenesh1_pm.3_#_21, Genemark1.1510_g, Genemark1.1511_g, fgenesh1_pg.3_#_42
3	C735	1	scaffold_3	528312	550771	22460	5	0	4	fgenesh1_pm.3_#_46	fgenesh1_pm.3_#_47	fgenesh1_pm.3_#_46, Genemark1.1557_g, estExt_Genemark1.C_30100, e_gw1.3.647.1, fgenesh1_pm.3_#_47
3	C737	1	scaffold_3	975549	1011975	36427	7	0	5	estExt_Genewise1Plus.C_30172	fgenesh1_kg.3_#_57_#_3451_2_CBOZ_CBPA	estExt_Genewise1Plus.C_30172, e_gw1.3.8.1, fgenesh1_pm.3_#_82, estExt_fgenesh1_pg.C_30135, fgenesh1_kg.3_#_56_#_2958_1_CBOZ_CBPA, e_gw1.3.459.1, fgenesh1_kg.3_#_57_#_3451_2_CBOZ_CBPA
3	C740	1	scaffold_3	1162856	1180723	17868	4	0	3	e_gw1.3.474.1	estExt_Genewise1Plus.C_30226	e_gw1.3.474.1, Genemark1.1674_g, fgenesh1_kg.3_#_69_#_4004_0_CBOZ5399.b1_CBOZ_CBPA, estExt_Genewise1Plus.C_30226
3	C745	1	scaffold_3	2138320	2184269	45950	9	0	5	estExt_fgenesh1_pm.C_30191	fgenesh1_pm.3_#_197	estExt_fgenesh1_pm.C_30191, estExt_fgenesh1_pg.C_30282, gw1.3.285.1, Genemark1.1863_g, Genemark1.1864_g, fgenesh1_pg.3_#_290, Genemark1.1866_g, estExt_Genewise1.C_30455, fgenesh1_pm.3_#_197
3	C746	1	scaffold_3	2212512	2222029	9518	3	0	3	e_gw1.3.36.1	fgenesh1_pg.3_#_299	e_gw1.3.36.1, estExt_Genemark1.C_30419, fgenesh1_pg.3_#_299
3	C748	1	scaffold_3	2353134	2363097	9964	3	0	3	estExt_Genewise1Plus.C_30513	estExt_Genewise1Plus.C_30519	estExt_Genewise1Plus.C_30513, Genemark1.1902_g, estExt_Genewise1Plus.C_30519
3	C749	1	scaffold_3	2380820	2450908	70089	15	0	8	estExt_Genewise1Plus.C_30527	estExt_Genewise1Plus.C_30542	estExt_Genewise1Plus.C_30527, Genemark1.1910_g, estExt_Genewise1Plus.C_30532, estExt_fgenesh1_pg.C_30317, estExt_fgenesh1_pm.C_30216, estExt_fgenesh1_pg.C_30319, estExt_fgenesh1_pm.C_30218, fgenesh1_pg.3_#_326, Genemark1.1917_g, e_gw1.3.38.1, estExt_Genemark1.C_30461, Genemark1.1920_g, estExt_Genewise1Plus.C_30539, fgenesh1_pg.3_#_331, estExt_Genewise1Plus.C_30542
3	C752	1	scaffold_3	2915544	2931352	15809	4	0	3	estExt_Genemark1.C_30545	e_gw1.3.297.1	estExt_Genemark1.C_30545, estExt_fgenesh1_pm.C_30254, e_gw1.3.376.1, e_gw1.3.297.1
3	C753	1	scaffold_4	11050	50019	38970	7	0	5	estExt_Genemark1.C_40004	gw1.4.171.1	estExt_Genemark1.C_40004, estExt_fgenesh1_pm.C_40004, fgenesh1_pg.4_#_5, fgenesh1_pm.4_#_6, fgenesh1_kg.4_#_4_#_4267_1_CBOZ_CBPA, Genemark1.2031_g, gw1.4.171.1
3	C754	1	scaffold_4	325062	444093	119032	19	0	10	Genemark1.2071_g	Genemark1.2086_g	Genemark1.2071_g, Genemark1.2072_g, estExt_Genemark1.C_40050, estExt_Genewise1Plus.C_40059, e_gw1.4.705.1, e_gw1.4.744.1, fgenesh1_pm.4_#_29, Genemark1.2077_g, estExt_fgenesh1_pg.C_40042, fgenesh1_pg.4_#_45, Genemark1.2080_g, estExt_Genemark1.C_40058, fgenesh1_kg.4_#_19_#_2553_1_CBOZ_CBPA, estExt_fgenesh1_pg.C_40046, fgenesh1_kg.4_#_20_#_3827_1_CBOZ_CBPA, fgenesh1_pg.4_#_49, Genemark1.2084_g, Genemark1.2085_g, Genemark1.2086_g
3	C755	1	scaffold_4	478914	528708	49795	7	0	5	estExt_fgenesh1_pg.C_40053	Genemark1.2096_g	estExt_fgenesh1_pg.C_40053, estExt_Genemark1.C_40068, estExt_fgenesh1_pm.C_40032, Genemark1.2093_g, Genemark1.2094_g, Genemark1.2095_g, Genemark1.2096_g
3	C756	1	scaffold_4	602673	640017	37345	5	0	4	estExt_fgenesh1_pm.C_40033	Genemark1.2111_g	estExt_fgenesh1_pm.C_40033, Genemark1.2108_g, estExt_Genewise1Plus.C_40090, estExt_fgenesh1_pm.C_40035, Genemark1.2111_g
3	C758	1	scaffold_4	806735	833923	27189	4	0	3	gw1.4.121.1	e_gw1.4.79.1	gw1.4.121.1, e_gw1.4.321.1, Genemark1.2139_g, e_gw1.4.79.1
3	C761	1	scaffold_4	1300122	1380138	80017	16	0	8	estExt_Genemark1.C_40212	gw1.4.670.1	estExt_Genemark1.C_40212, estExt_fgenesh1_pm.C_40087, estExt_fgenesh1_pm.C_40088, estExt_fgenesh1_pm.C_40089, Genemark1.2237_g, e_gw1.4.398.1, Genemark1.2239_g, Genemark1.2240_g, estExt_fgenesh1_pm.C_40091, fgenesh1_pg.4_#_177, Genemark1.2242_g, e_gw1.4.49.1, estExt_Genemark1.C_40221, estExt_fgenesh1_pm.C_40094, e_gw1.4.696.1, gw1.4.670.1
3	C762	1	scaffold_4	1506923	1549184	42262	12	0	6	e_gw1.4.432.1	estExt_Genewise1.C_40317	e_gw1.4.432.1, fgenesh1_pg.4_#_205, fgenesh1_pg.4_#_206, estExt_fgenesh1_pm.C_40107, fgenesh1_kg.4_#_69_#_0_0_CBOZ4187.b1_CBOZ_CBPA, fgenesh1_pm.4_#_109, estExt_Genewise1Plus.C_40305, estExt_Genewise1.C_40312, estExt_fgenesh1_pm.C_40112, Genemark1.2278_g, Genemark1.2279_g, estExt_Genewise1.C_40317
3	C763	1	scaffold_4	1777214	1804154	26941	9	0	5	estExt_fgenesh1_pg.C_40235	fgenesh1_pg.4_#_251	estExt_fgenesh1_pg.C_40235, estExt_Genemark1.C_40303, fgenesh1_pg.4_#_245, fgenesh1_pm.4_#_145, fgenesh1_pg.4_#_247, estExt_Genewise1.C_40404, Genemark1.2331_g, estExt_Genemark1.C_40309, fgenesh1_pg.4_#_251
3	C766	1	scaffold_4	2033101	2059280	26180	6	0	4	e_gw1.4.18.1	estExt_fgenesh1_pm.C_40177	e_gw1.4.18.1, e_gw1.4.290.1, estExt_Genewise1Plus.C_40489, estExt_Genewise1Plus.C_40492, fgenesh1_pg.4_#_296, estExt_fgenesh1_pm.C_40177
3	C768	1	scaffold_4	2486102	2494637	8536	3	0	3	e_gw1.4.232.1	Genemark1.2496_g	e_gw1.4.232.1, e_gw1.4.458.1, Genemark1.2496_g
3	C769	1	scaffold_4	2513646	2569836	56191	12	0	6	Genemark1.2501_g	estExt_Genemark1.C_40487	Genemark1.2501_g, e_gw1.4.425.1, fgenesh1_pg.4_#_377, fgenesh1_kg.4_#_138_#_1434_1_CBOZ_CBPA, e_gw1.4.62.1, fgenesh1_kg.4_#_139_#_3991_1_CBOZ_CBPA, e_gw1.4.492.1, estExt_fgenesh1_pg.C_40366, Genemark1.2508_g, estExt_fgenesh1_pm.C_40237, fgenesh1_pm.4_#_241, estExt_Genemark1.C_40487
3	C771	1	scaffold_5	89702	156975	67274	14	0	7	e_gw1.5.143.1	Genemark1.2619_g	e_gw1.5.143.1, Genemark1.2607_g, estExt_Genewise1Plus.C_50015, Genemark1.2609_g, estExt_fgenesh1_pg.C_50013, estExt_Genemark1.C_50020, Genemark1.2612_g, e_gw1.5.455.1, Genemark1.2614_g, Genemark1.2615_g, estExt_Genemark1.C_50025, estExt_fgenesh1_pm.C_50011, Genemark1.2618_g, Genemark1.2619_g
3	C772	1	scaffold_5	292151	317005	24855	3	0	3	fgenesh1_pg.5_#_34	fgenesh1_pm.5_#_21	fgenesh1_pg.5_#_34, estExt_Genewise1Plus.C_50043, fgenesh1_pm.5_#_21
3	C776	1	scaffold_5	642204	735592	93389	19	0	10	estExt_fgenesh1_pg.C_50080	e_gw1.5.146.1	estExt_fgenesh1_pg.C_50080, Genemark1.2710_g, fgenesh1_kg.5_#_27_#_318_1_CBOZ_CBPA, estExt_Genemark1.C_50121, fgenesh1_pg.5_#_84, fgenesh1_pm.5_#_46, estExt_fgenesh1_pg.C_50085, Genemark1.2716_g, estExt_Genewise1.C_50097, estExt_Genewise1.C_50100, Genemark1.2719_g, fgenesh1_pg.5_#_90, Genemark1.2721_g, fgenesh1_pm.5_#_51, Genemark1.2723_g, estExt_fgenesh1_pm.C_50051, fgenesh1_pg.5_#_95, Genemark1.2727_g, e_gw1.5.146.1
3	C777	1	scaffold_5	885524	941932	56409	10	0	8	estExt_fgenesh1_pm.C_50063	estExt_Genemark1.C_50178	estExt_fgenesh1_pm.C_50063, fgenesh1_kg.5_#_37_#_3233_1_CBOZ_CBPA, fgenesh1_pg.5_#_118, estExt_fgenesh1_pg.C_50118, gw1.5.240.1, estExt_Genewise1.C_50134, fgenesh1_pg.5_#_122, estExt_Genemark1.C_50176, fgenesh1_pg.5_#_124, estExt_Genemark1.C_50178
3	C778	1	scaffold_5	996758	1070690	73933	12	0	7	Genemark1.2779_g	estExt_fgenesh1_pm.C_50079	Genemark1.2779_g, estExt_Genemark1.C_50189, estExt_Genewise1Plus.C_50143, fgenesh1_pm.5_#_77, estExt_fgenesh1_pm.C_50077, Genemark1.2785_g, Genemark1.2786_g, estExt_Genewise1.C_50147, e_gw1.5.153.1, fgenesh1_pg.5_#_139, Genemark1.2790_g, estExt_fgenesh1_pm.C_50079
3	C780	1	scaffold_5	1287745	1297928	10184	4	0	3	estExt_Genewise1.C_50227	fgenesh1_pm.5_#_108	estExt_Genewise1.C_50227, fgenesh1_pm.5_#_106, estExt_fgenesh1_pm.C_50105, fgenesh1_pm.5_#_108
3	C782	1	scaffold_5	1788405	1799765	11361	3	0	3	estExt_Genewise1Plus.C_50338	estExt_Genewise1Plus.C_50344	estExt_Genewise1Plus.C_50338, e_gw1.5.440.1, estExt_Genewise1Plus.C_50344
3	C784	1	scaffold_5	1964669	1982549	17881	5	0	4	estExt_fgenesh1_pm.C_50166	estExt_fgenesh1_pm.C_50168	estExt_fgenesh1_pm.C_50166, e_gw1.5.524.1, fgenesh1_kg.5_#_106_#_2999_1_CBOZ_CBPA, gw1.5.580.1, estExt_fgenesh1_pm.C_50168
3	C786	1	scaffold_5	2194443	2261928	67486	11	0	7	estExt_Genewise1Plus.C_50442	estExt_Genemark1.C_50427	estExt_Genewise1Plus.C_50442, Genemark1.3009_g, fgenesh1_pm.5_#_197, estExt_fgenesh1_pm.C_50193, fgenesh1_kg.5_#_126_#_4448_0_CBOZ1460.g1_CBOZ_CBPA, estExt_fgenesh1_pm.C_50194, estExt_fgenesh1_pg.C_50308, Genemark1.3015_g, estExt_fgenesh1_pg.C_50310, Genemark1.3017_g, estExt_Genemark1.C_50427
3	C787	1	scaffold_5	2371541	2464783	93243	14	0	7	Genemark1.3041_g	fgenesh1_pg.5_#_341	Genemark1.3041_g, estExt_Genemark1.C_50451, e_gw1.5.16.1, fgenesh1_pg.5_#_333, estExt_fgenesh1_pm.C_50208, fgenesh1_pg.5_#_335, e_gw1.5.486.1, Genemark1.3048_g, estExt_Genewise1Plus.C_50474, gw1.5.487.1, Genemark1.3051_g, estExt_fgenesh1_pg.C_50335, estExt_fgenesh1_pm.C_50211, fgenesh1_pg.5_#_341
3	C788	1	scaffold_5	2725487	2767158	41672	9	0	7	Genemark1.3101_g	estExt_fgenesh1_pg.C_50375	Genemark1.3101_g, Genemark1.3102_g, Genemark1.3103_g, Genemark1.3104_g, estExt_Genewise1Plus.C_50528, estExt_Genewise1.C_50532, estExt_Genewise1Plus.C_50534, estExt_Genemark1.C_50517, estExt_fgenesh1_pg.C_50375
3	C793	1	scaffold_6	705058	730789	25732	6	0	4	Genemark1.3272_g	estExt_Genewise1.C_60118	Genemark1.3272_g, e_gw1.6.303.1, estExt_fgenesh1_pm.C_60054, Genemark1.3275_g, estExt_Genewise1Plus.C_60115, estExt_Genewise1.C_60118
3	C797	1	scaffold_6	1239940	1285261	45322	9	0	5	estExt_fgenesh1_pg.C_60183	e_gw1.6.456.1	estExt_fgenesh1_pg.C_60183, estExt_fgenesh1_pg.C_60184, estExt_Genemark1.C_60239, estExt_fgenesh1_pg.C_60186, estExt_fgenesh1_pg.C_60187, fgenesh1_pg.6_#_191, Genemark1.3382_g, Genemark1.3383_g, e_gw1.6.456.1
3	C800	1	scaffold_6	1684980	1717525	32546	8	0	7	e_gw1.6.374.1	estExt_fgenesh1_pm.C_60156	e_gw1.6.374.1, e_gw1.6.205.1, estExt_Genewise1.C_60317, estExt_Genewise1.C_60320, estExt_Genewise1.C_60323, estExt_fgenesh1_pm.C_60154, estExt_Genewise1.C_60328, estExt_fgenesh1_pm.C_60156
3	C802	1	scaffold_6	1847469	1953197	105729	20	0	9	e_gw1.6.300.1	estExt_Genemark1.C_60383	e_gw1.6.300.1, e_gw1.6.65.1, Genemark1.3507_g, estExt_Genewise1Plus.C_60373, Genemark1.3509_g, Genemark1.3510_g, Genemark1.3511_g, e_gw1.6.272.1, Genemark1.3513_g, Genemark1.3514_g, Genemark1.3515_g, Genemark1.3516_g, fgenesh1_pg.6_#_299, estExt_Genemark1.C_60379, estExt_Genewise1.C_60383, e_gw1.6.470.1, fgenesh1_pg.6_#_302, estExt_Genemark1.C_60381, e_gw1.6.188.1, estExt_Genemark1.C_60383
3	C804	1	scaffold_6	2334913	2385437	50525	8	0	6	e_gw1.6.286.1	Genemark1.3606_g	e_gw1.6.286.1, estExt_fgenesh1_pg.C_60356, Genemark1.3602_g, estExt_Genewise1Plus.C_60460, e_gw1.6.122.1, e_gw1.6.130.1, estExt_fgenesh1_pm.C_60212, Genemark1.3606_g
3	C806	1	scaffold_7	2240	78472	76233	18	0	12	fgenesh1_kg.7_#_1_#_2366_1_CBOZ_CBPA	fgenesh1_pg.7_#_13	fgenesh1_kg.7_#_1_#_2366_1_CBOZ_CBPA, fgenesh1_pg.7_#_2, fgenesh1_pg.7_#_3, estExt_Genemark1.C_70004, estExt_Genemark1.C_70005, estExt_Genewise1.C_70010, fgenesh1_pg.7_#_7, Genemark1.3656_g, Genemark1.3657_g, fgenesh1_pg.7_#_8, Genemark1.3659_g, Genemark1.3660_g, fgenesh1_pg.7_#_9, fgenesh1_kg.7_#_4_#_347_1_CBOZ_CBPA, fgenesh1_kg.7_#_5_#_3894_1_CBOZ_CBPA, estExt_Genemark1.C_70015, fgenesh1_pg.7_#_12, fgenesh1_pg.7_#_13
3	C809	1	scaffold_7	632515	652261	19747	4	0	3	e_gw1.7.231.1	fgenesh1_pm.7_#_43	e_gw1.7.231.1, e_gw1.7.472.1, fgenesh1_pg.7_#_93, fgenesh1_pm.7_#_43
3	C812	1	scaffold_7	964029	987928	23900	5	0	4	estExt_Genewise1.C_70169	estExt_Genewise1Plus.C_70174	estExt_Genewise1.C_70169, fgenesh1_pg.7_#_134, estExt_fgenesh1_pm.C_70069, fgenesh1_pm.7_#_73, estExt_Genewise1Plus.C_70174
3	C813	1	scaffold_7	1001587	1009665	8079	3	0	3	fgenesh1_pg.7_#_137	Genemark1.3832_g	fgenesh1_pg.7_#_137, estExt_Genewise1.C_70176, Genemark1.3832_g
3	C815	1	scaffold_7	1145469	1222131	76663	16	0	9	estExt_fgenesh1_pg.C_70165	estExt_Genemark1.C_70237	estExt_fgenesh1_pg.C_70165, estExt_fgenesh1_pg.C_70166, e_gw1.7.235.1, estExt_Genemark1.C_70223, estExt_Genewise1Plus.C_70225, fgenesh1_pg.7_#_173, Genemark1.3875_g, estExt_Genemark1.C_70228, estExt_Genemark1.C_70229, e_gw1.7.180.1, estExt_fgenesh1_pm.C_70108, e_gw1.7.423.1, fgenesh1_kg.7_#_76_#_100_2_CBOZ_CBPA, Genemark1.3883_g, estExt_Genemark1.C_70236, estExt_Genemark1.C_70237
3	C817	1	scaffold_7	1817443	1838687	21245	4	0	3	estExt_Genemark1.C_70365	estExt_Genewise1.C_70349	estExt_Genemark1.C_70365, gw1.7.154.1, e_gw1.7.380.1, estExt_Genewise1.C_70349
3	C818	1	scaffold_7	1923442	1964944	41503	7	0	5	e_gw1.7.158.1	estExt_fgenesh1_pg.C_70286	e_gw1.7.158.1, fgenesh1_kg.7_#_130_#_2166_1_CBOZ_CBPA, fgenesh1_kg.7_#_131_#_1023_0_CBOZ2682.b1_CBOZ_CBPA, estExt_fgenesh1_pm.C_70174, Genemark1.4032_g, estExt_Genewise1.C_70360, estExt_fgenesh1_pg.C_70286
3	C822	1	scaffold_8	101348	140757	39410	7	0	5	e_gw1.8.344.1	estExt_fgenesh1_pm.C_80010	e_gw1.8.344.1, e_gw1.8.331.1, fgenesh1_pg.8_#_17, e_gw1.8.91.1, fgenesh1_pg.8_#_19, e_gw1.8.293.1, estExt_fgenesh1_pm.C_80010
3	C823	1	scaffold_8	407949	501850	93902	15	0	9	e_gw1.8.423.1	Genemark1.4202_g	e_gw1.8.423.1, estExt_Genewise1Plus.C_80066, Genemark1.4190_g, e_gw1.8.127.1, Genemark1.4192_g, gw1.8.199.1, fgenesh1_pm.8_#_28, Genemark1.4195_g, Genemark1.4196_g, estExt_fgenesh1_pg.C_80059, estExt_fgenesh1_pm.C_80028, Genemark1.4199_g, e_gw1.8.86.1, Genemark1.4201_g, Genemark1.4202_g
3	C824	1	scaffold_8	677069	697063	19995	5	0	4	fgenesh1_pm.8_#_41	e_gw1.8.299.1	fgenesh1_pm.8_#_41, fgenesh1_kg.8_#_36_#_2800_1_CBOZ_CBPA, e_gw1.8.456.1, Genemark1.4235_g, e_gw1.8.299.1
3	C826	1	scaffold_8	898565	920669	22105	7	0	5	estExt_Genewise1Plus.C_80186	estExt_Genemark1.C_80156	estExt_Genewise1Plus.C_80186, e_gw1.8.184.1, fgenesh1_kg.8_#_54_#_2551_1_CBOZ_CBPA, e_gw1.8.302.1, estExt_fgenesh1_pm.C_80059, gw1.8.309.1, estExt_Genemark1.C_80156
3	C827	1	scaffold_8	959988	1040751	80764	14	0	7	estExt_fgenesh1_pm.C_80066	Genemark1.4296_g	estExt_fgenesh1_pm.C_80066, estExt_Genemark1.C_80168, estExt_fgenesh1_pm.C_80067, estExt_fgenesh1_pm.C_80068, estExt_fgenesh1_pg.C_80121, estExt_fgenesh1_pg.C_80122, estExt_Genewise1.C_80225, estExt_fgenesh1_pm.C_80070, estExt_fgenesh1_pg.C_80124, estExt_fgenesh1_pm.C_80071, estExt_fgenesh1_pg.C_80126, estExt_Genemark1.C_80176, e_gw1.8.275.1, Genemark1.4296_g
3	C828	1	scaffold_8	1168018	1192762	24745	3	0	3	Genemark1.4320_g	estExt_fgenesh1_pg.C_80153	Genemark1.4320_g, estExt_fgenesh1_pg.C_80152, estExt_fgenesh1_pg.C_80153
3	C829	1	scaffold_8	1219797	1243395	23599	4	0	3	e_gw1.8.203.1	estExt_fgenesh1_pg.C_80160	e_gw1.8.203.1, Genemark1.4331_g, estExt_fgenesh1_pm.C_80093, estExt_fgenesh1_pg.C_80160
3	C832	1	scaffold_8	1633611	1666490	32880	4	0	3	estExt_fgenesh1_pm.C_80115	e_gw1.8.125.1	estExt_fgenesh1_pm.C_80115, estExt_Genemark1.C_80290, Genemark1.4409_g, e_gw1.8.125.1
